time_s,pwave_sw_us,pwave_aic_us,Vp_sw_km,Vp_aic_km
1053.26,27.3,27.125,7.717041800643083,7.822685788787481
1056.3,27.3,27.15,7.717041800643083,7.8074170461938825
1059.4,27.3,27.225,7.717041800643083,7.761966364812416
1062.54,27.325,27.075,7.7021822849807435,7.853403141361254
1065.67,27.3,27.075,7.717041800643083,7.853403141361254
1068.87,27.225,27.15,7.761966364812416,7.8074170461938825
1072.03,27.2,27.1,7.777057679844457,7.838014369693007
1075.17,27.375,27.25,7.672634271099742,7.746933505487409
1078.35,27.275,27.15,7.731958762886595,7.8074170461938825
1081.46,27.2,27.075,7.777057679844457,7.853403141361254
1084.6,27.325,27.1,7.7021822849807435,7.838014369693007
1087.74,27.275,27.2,7.731958762886595,7.777057679844457
1090.9,27.25,27.125,7.746933505487409,7.822685788787481
1094.06,27.275,27.075,7.731958762886595,7.853403141361254
1097.2,27.3,27.25,7.717041800643083,7.746933505487409
1100.37,27.25,27.125,7.746933505487409,7.822685788787481
1103.51,27.25,27.125,7.746933505487409,7.822685788787481
1106.6,27.275,27.125,7.731958762886595,7.822685788787481
1109.68,27.25,27.15,7.746933505487409,7.8074170461938825
1112.79,27.325,27.2,7.7021822849807435,7.777057679844457
1115.95,27.275,27.15,7.731958762886595,7.8074170461938825
1119.07,27.3,27.175,7.717041800643083,7.7922077922077895
1122.12,27.225,27.2,7.761966364812416,7.777057679844457
1125.18,27.325,27.125,7.7021822849807435,7.822685788787481
1128.25,27.3,27.125,7.717041800643083,7.822685788787481
1131.3,27.325,27.15,7.7021822849807435,7.8074170461938825
1134.32,27.25,27.175,7.746933505487409,7.7922077922077895
1137.35,27.2,27.1,7.777057679844457,7.838014369693007
1140.38,27.275,27.075,7.731958762886595,7.853403141361254
1143.4,27.35,27.1,7.687379884689299,7.838014369693007
1146.43,27.325,27.15,7.7021822849807435,7.8074170461938825
1149.5,27.25,27.075,7.746933505487409,7.853403141361254
1152.55,27.275,27.175,7.731958762886595,7.7922077922077895
1155.62,27.2,27.075,7.777057679844457,7.853403141361254
1158.72,27.3,27.1,7.717041800643083,7.838014369693007
1161.8,27.225,27.2,7.761966364812416,7.777057679844457
1164.86,27.225,27.075,7.761966364812416,7.853403141361254
1167.91,27.125,27.1,7.822685788787481,7.838014369693007
1171.02,27.25,27.075,7.746933505487409,7.853403141361254
1174.14,27.2,27.175,7.777057679844457,7.7922077922077895
1177.21,27.275,27.075,7.731958762886595,7.853403141361254
1180.32,27.15,27.0,7.8074170461938825,7.899934167215271
1183.49,27.175,27.1,7.7922077922077895,7.838014369693007
1186.67,27.15,27.025,7.8074170461938825,7.88436268068331
1189.81,27.25,27.1,7.746933505487409,7.838014369693007
1192.95,27.175,27.1,7.7922077922077895,7.838014369693007
1196.04,27.225,27.0,7.761966364812416,7.899934167215271
1199.11,27.325,27.125,7.7021822849807435,7.822685788787481
1202.17,27.2,27.2,7.777057679844457,7.777057679844457
1205.29,27.175,27.025,7.7922077922077895,7.88436268068331
1208.43,27.2,27.1,7.777057679844457,7.838014369693007
1211.57,27.175,27.075,7.7922077922077895,7.853403141361254
1214.69,27.15,26.975,7.8074170461938825,7.915567282321896
1217.75,27.125,27.0,7.822685788787481,7.899934167215271
1220.89,27.25,27.025,7.746933505487409,7.88436268068331
