C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
Express-8 (r) Location Version 
Version V5.94

4/15/2026, 17:03:41

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           30.3331705   6     1    13     2       115  53 486.529E+00
  1           30.4289910   1     1    13     3       132  55 653.868E+00
  1           30.4289925   3     9    16     4       175  59 978.980E+00
  1           30.4290100   2     1     2     0         7  52  61.638E+00
  1           30.4290315   6     1     9     1        50  52 246.865E+00
  1           30.5250490   1     9    17     4       169  57   1.036E+03
  1           30.5250505   3    13    17     5       175  60   1.485E+03
  1           30.5250710   2     1     2     0         7  54 106.281E+00
  1           30.5250845   6     1    13     2        77  53 429.016E+00
  1           32.9217960   1    11    13     2        62  55 599.625E+00
  1           32.9218025   3    10    15     4       169  59 922.406E+00
  1           32.9218230   2     1     1     0         1  50   0.000E+00
  1           32.9218335   6     1    10     1        58  52 265.889E+00
  1           33.0178140   1    11    17     4       125  57 999.311E+00
  1           33.0178205   3     3    17     5       169  61   1.410E+03
  1           33.0178330   2     1     4     0         9  54 129.918E+00
  1           33.0178485   6    14    13     3       118  54 493.948E+00
  1           33.1136590   1    32    13     2        62  55 604.634E+00
  1           33.1136655   3     2    16     4       169  59 943.190E+00
  1           33.1136965   6     1    10     1        58  52 264.673E+00
  1           33.2097780   1    32    18     3       113  57 979.013E+00
  1           33.2097825   3     5    18     5       171  61   1.469E+03
  1           33.2098000   2     1     2     0         7  55  93.975E+00
  1           33.2098125   6    40    15     2       115  54 488.889E+00
  1           33.3056080   1     9    13     2        60  55 584.294E+00
  1           33.3056125   3     3    16     4       169  59 922.161E+00
  1           33.3056435   6     1     9     1        55  52 256.026E+00
  1           33.4012650   1    32    18     4       135  57   1.032E+03
  1           33.4012695   3     9    18     5       175  61   1.484E+03
  1           33.4012870   2     1     3     0         7  55 101.302E+00
  1           33.4012995   6    40    14     2       102  54 473.229E+00
  1           33.4978470   1     9    11     2        43  55 545.982E+00
  1           33.4978515   3     3    16     4       169  59 932.379E+00
  1           33.4978690   2     1     2     0         7  53  63.123E+00
  1           33.4978825   6     1    10     1        55  52 257.803E+00
  1           33.5938780   1    32    18     4       132  57   1.021E+03
  1           33.5938825   3     9    18     5       175  61   1.493E+03
  1           33.5939000   2     1     3     0         7  54  89.911E+00
  1           33.5939125   6    40    14     2       102  54 474.086E+00
  1           35.5691425   3     1     1     0         5  48  15.632E+00
  1           35.7725085   3     1     1     0         1  45   0.000E+00
  1           35.9820470   1     1    14     2        48  55 575.934E+00
  1           35.9820515   3     9    15     4       172  59 964.813E+00
  1           35.9820690   2     1     2     0         7  53  81.056E+00
